"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.025162000E-3,6.486260891E-2,-3.652191162E-2,7.715034485E-2
8.119850000E-3,1.263453960E-1,7.888793945E-2,-1.530447006E-1
1.611020100E-2,1.830649376E-1,1.078400612E-1,-2.681093216E-1
2.410059200E-2,2.732537389E-1,1.318173409E-1,-2.585105896E-1
3.209227100E-2,3.201743960E-1,1.126203537E-1,-1.578350067E-1
4.008274000E-2,3.286484480E-1,1.077761650E-1,-3.794670105E-2
4.806777900E-2,3.273977637E-1,1.029481888E-1,6.282329559E-2
5.605766200E-2,3.021019101E-1,6.945610046E-2,1.540126801E-1
6.404676400E-2,2.146183252E-1,2.648496628E-2,2.260169983E-1
7.203891200E-2,8.736658096E-2,-3.508710861E-2,1.673507690E-1
8.003563100E-2,-2.328282595E-2,-5.922555923E-2,7.594108582E-2
8.803727100E-2,-8.952581882E-2,-6.073379517E-2,4.789161682E-2
9.603652900E-2,-8.136764169E-2,-5.880451202E-2,4.963302612E-2
1.040339900E-1,-5.043825507E-2,-8.207798004E-2,8.582305908E-2
1.120219200E-1,5.241891742E-2,-7.757663727E-2,1.322393417E-1
1.200080530E-1,1.413264275E-1,-6.854629517E-2,9.262943268E-2
1.279950060E-1,2.114903927E-1,-4.060268402E-2,5.794811249E-2
1.359818420E-1,2.724216878E-1,-3.074645996E-3,-3.900337219E-2
1.439687560E-1,3.000174165E-1,1.131868362E-2,-1.077795029E-1
1.519548890E-1,3.193748891E-1,-1.112127304E-2,-1.153907776E-1
1.599417250E-1,2.834464908E-1,-8.486795425E-2,-1.863126755E-1
1.679277400E-1,2.401883602E-1,-8.915138245E-2,-3.164815903E-1
1.759154350E-1,2.025091052E-1,-9.118652344E-2,-4.386520386E-1
1.839044590E-1,1.560361087E-1,-1.054267883E-1,-4.617729187E-1
1.918910210E-1,1.250263155E-1,-1.320624352E-1,-4.336080551E-1
1.998820760E-1,1.517952085E-1,-1.480059624E-1,-4.397106171E-1
2.078704350E-1,1.629445255E-1,-1.444530487E-1,-4.076452255E-1
2.158578570E-1,1.911330819E-1,-1.271219254E-1,-2.218255997E-1
2.238443810E-1,2.275665104E-1,-1.350126266E-1,-6.322860718E-3
2.318306310E-1,2.725327909E-1,-1.593298912E-1,2.250070572E-1
2.398136780E-1,3.168640435E-1,-1.232681274E-1,3.187742233E-1
2.477999280E-1,2.898096442E-1,-1.418757439E-1,3.276929855E-1
2.557869980E-1,2.153153419E-1,-1.763057709E-1,2.561769485E-1
2.637787560E-1,1.658183336E-1,-1.583528519E-1,1.513023376E-1
2.717650060E-1,8.865121007E-2,-1.644740105E-1,1.774787903E-2
2.797521540E-1,-9.154766798E-3,-2.052063942E-1,-3.184890747E-2
2.877354350E-1,-6.269508600E-2,-2.314033508E-1,1.894474030E-2
2.957221540E-1,-6.261426210E-2,-1.905641556E-1,1.032295227E-1
3.037103960E-1,-4.200652242E-2,-1.543827057E-1,1.299085617E-1
3.117011390E-1,-1.692205667E-2,-1.420044899E-1,1.517248154E-1
3.196909430E-1,3.539001942E-2,-1.486554146E-1,8.733177185E-2
3.276775840E-1,6.764847040E-2,-1.024332047E-1,1.138200760E-1
3.356696150E-1,7.623362541E-2,-7.042121887E-2,1.018886566E-1
3.436605530E-1,7.122266293E-2,-5.738735199E-2,4.193401337E-2
3.516470370E-1,8.182093501E-2,-5.348539352E-2,-3.272914886E-2
3.596350840E-1,1.221337914E-1,-2.974700928E-2,-1.844882965E-1
3.676222320E-1,1.969908774E-1,3.794765472E-2,-2.698154449E-1
3.756080140E-1,2.674636543E-1,6.350803375E-2,-2.552309036E-1
3.835954350E-1,2.721005082E-1,5.134391785E-2,-1.069803238E-1
3.915824280E-1,3.071165681E-1,4.382896423E-2,-3.049373627E-2
3.995643810E-1,2.853826284E-1,-2.070713043E-2,-6.922054291E-2
4.075450060E-1,2.543037236E-1,-4.679250717E-2,-5.055809021E-2
4.155284040E-1,2.466020435E-1,-3.873443604E-2,-3.227043152E-2
4.235082480E-1,2.041238099E-1,-2.604007721E-2,-3.297519684E-2
4.314908650E-1,1.220294535E-1,3.089904785E-4,-6.188678741E-2
4.394744590E-1,1.039513946E-2,2.103281021E-2,-1.763992310E-1
4.474596540E-1,-3.179550171E-2,-2.611398697E-2,-1.849517822E-1
4.554440290E-1,-3.235504031E-2,-6.861925125E-2,-1.598520279E-1
4.634279750E-1,-6.194904447E-3,-8.740234375E-2,-1.010351181E-1
4.714158260E-1,6.670315564E-2,-4.959726334E-2,6.372451782E-2
4.794009040E-1,7.329641283E-2,-4.062223434E-2,1.040401459E-1
4.873873890E-1,1.102135032E-1,-6.455469131E-2,8.167743683E-2
4.953675060E-1,1.580943018E-1,-4.966211319E-2,5.416584015E-2
5.033508260E-1,1.785129905E-1,-2.889633179E-2,6.778717041E-3
5.113368030E-1,1.997876763E-1,-3.072071075E-2,-7.501125336E-2
5.193202010E-1,1.924183220E-1,-1.685857773E-2,-1.528549194E-1
5.273046930E-1,1.286450922E-1,-4.910326004E-2,-2.126951218E-1
5.352893810E-1,8.931353688E-3,-7.463932037E-2,-2.258806229E-1
5.432735600E-1,-8.679755777E-2,-1.466360092E-1,-2.207889557E-1
5.512593030E-1,-1.494803727E-1,-1.744089127E-1,-1.397533417E-1
5.592419590E-1,-1.012359783E-1,-1.487474442E-1,-1.788721085E-1
5.672255140E-1,-1.414426416E-2,-7.470417023E-2,-1.799468994E-1
5.752093030E-1,3.925853968E-2,-6.214427948E-2,-2.005987167E-1
5.831927010E-1,9.044189751E-2,-2.624559402E-2,-1.393842697E-1
5.911804350E-1,1.148430705E-1,-1.010684967E-1,-1.687088013E-1
5.991662560E-1,6.118834019E-2,-2.004537582E-1,-1.353406906E-1
6.071546150E-1,-7.171794772E-3,-2.326860428E-1,-5.411434174E-2
6.151417250E-1,-1.224273741E-1,-3.138523102E-1,-1.050853729E-2
6.231256310E-1,-1.905921251E-1,-3.477993011E-1,-1.627788544E-1
6.311132870E-1,-1.413432360E-1,-3.057575226E-1,-2.810993195E-1
6.391046540E-1,1.721795499E-1,-1.758255959E-1,-7.643260956E-1
6.470927400E-1,1.964341402E-1,-2.743196487E-2,-4.761514664E-1
6.550774670E-1,2.221304476E-1,8.660697937E-2,-3.263025284E-1
6.630693030E-1,2.525749803E-1,6.115674973E-2,-3.723726273E-1
6.710573100E-1,3.084644675E-1,6.994247437E-3,-3.322105408E-1
6.790457090E-1,3.285883963E-1,-2.264785767E-2,-2.061529160E-1
6.870342250E-1,3.342083097E-1,-6.172037125E-2,-1.310157776E-2
6.950237560E-1,3.214342892E-1,-8.227968216E-2,1.468381882E-1
7.030199280E-1,2.998349071E-1,-8.464336395E-2,2.690668106E-1
7.110100060E-1,3.262346685E-1,-5.401229858E-2,3.245973587E-1
7.189975450E-1,3.478844762E-1,-3.798675537E-2,4.042358398E-1
7.269830140E-1,3.316254318E-1,-4.079008102E-2,4.884920120E-1
7.349668810E-1,2.836000919E-1,-5.806350708E-2,5.776004791E-1
7.429479750E-1,2.232784331E-1,-4.266405106E-2,6.145219803E-1
7.509332090E-1,1.451322585E-1,-2.434110641E-2,5.759172440E-1
7.589189900E-1,4.788915813E-2,9.937286377E-4,5.962791443E-1
7.669046150E-1,-1.636456698E-2,-9.539604187E-3,6.371726990E-1
7.748931310E-1,-3.802067041E-2,-3.739833832E-3,6.940851212E-1
7.828826620E-1,-2.798393369E-3,4.153156281E-2,6.956529617E-1
7.908705530E-1,5.812558532E-2,4.841804504E-2,6.234207153E-1
7.988571540E-1,9.593378007E-2,5.393362045E-2,4.945230484E-1
8.068401230E-1,1.256029606E-1,5.432462692E-2,3.083486557E-1
8.148276620E-1,9.903174639E-2,7.438039780E-2,1.266593933E-1
