"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.153960900E-2,3.061930490E1,-9.634115690E1,1.057762578E2,NaN,NaN,8.768800354E1,1.206951332E1
2.747556850E-1,3.061945338E1,-9.634113019E1,9.457615800E1,0.000000000E0,NaN,1.020408154E0,7.000000000E0
1.274752861E0,3.061945338E1,-9.634113019E1,9.457615800E1,0.000000000E0,NaN,5.102040768E-1,7.000000000E0
2.274749933E0,3.061945338E1,-9.634113019E1,9.457615800E1,0.000000000E0,NaN,5.102040768E-1,7.000000000E0
3.274746871E0,3.061945338E1,-9.634113019E1,9.457615800E1,0.000000000E0,NaN,5.102040768E-1,6.000000000E0
4.274743864E0,3.061945690E1,-9.634112910E1,9.557615572E1,3.499999940E-1,1.855000000E2,1.020408154E0,6.000000000E0
5.274740883E0,3.061945828E1,-9.634112919E1,9.557615465E1,0.000000000E0,NaN,5.102040768E-1,6.000000000E0
6.274737864E0,3.061946034E1,-9.634112919E1,9.557615309E1,0.000000000E0,NaN,5.102040768E-1,6.000000000E0
7.274734879E0,3.061946034E1,-9.634112919E1,9.557615309E1,0.000000000E0,NaN,5.102040768E-1,6.000000000E0
8.274732024E0,3.061945572E1,-9.634113153E1,9.557615574E1,9.899999499E-1,2.033999939E2,5.102040768E-1,5.000000000E0
9.274729018E0,3.061945162E1,-9.634113145E1,9.557615888E1,4.699999988E-1,1.428000031E2,1.020408154E0,5.000000000E0
1.027472594E1,3.061945409E1,-9.634112877E1,9.557615797E1,5.999999642E-1,7.650000000E1,1.020408154E0,5.000000000E0
1.127472293E1,3.061946096E1,-9.634112910E1,9.657615264E1,7.099999785E-1,3.407999878E2,1.020408154E0,4.000000000E0
1.227471995E1,3.061946113E1,-9.634113246E1,9.657615131E1,5.399999619E-1,2.515000000E2,1.020408154E0,4.000000000E0
1.327471703E1,3.061946151E1,-9.634113489E1,9.657615014E1,6.499999762E-1,2.516999969E2,1.020408154E0,4.000000000E0
1.427471414E1,3.061946013E1,-9.634113866E1,9.557614983E1,5.600000024E-1,2.506000061E2,1.020408154E0,4.000000000E0
