"Time (s)","Pressure (hPa)"
6.404676400E-2,9.956156006E2
1.439687560E-1,9.956185913E2
2.238443810E-1,9.956195068E2
3.037103960E-1,9.956193237E2
3.835954350E-1,9.956173096E2
4.634279750E-1,9.956149902E2
5.432735600E-1,9.956129761E2
6.231256310E-1,9.956154175E2
7.030199280E-1,9.956218262E2
7.828826620E-1,9.956317139E2
8.627177400E-1,9.956435547E2
9.425001230E-1,9.956554565E2
1.022321568E0,9.956629639E2
1.102126060E0,9.956632690E2
1.181891100E0,9.956583862E2
1.261659693E0,9.956484375E2
1.341448482E0,9.956357422E2
1.421240514E0,9.956228027E2
1.501039576E0,9.956102905E2
1.580854264E0,9.955996704E2
1.660660748E0,9.955919800E2
1.740477740E0,9.955860596E2
1.820303482E0,9.955806274E2
1.900192193E0,9.955790405E2
1.980025670E0,9.955787354E2
2.059803756E0,9.955792236E2
2.139596803E0,9.955809326E2
2.219386959E0,9.955840454E2
2.299220787E0,9.955870361E2
2.379061451E0,9.955893555E2
2.458845475E0,9.955912476E2
2.538624459E0,9.955926514E2
2.618452545E0,9.955935669E2
2.698285514E0,9.955937500E2
2.778105162E0,9.955929565E2
2.857967350E0,9.955919800E2
2.937827193E0,9.955912476E2
3.017705045E0,9.955905762E2
3.097580357E0,9.955907593E2
3.177443521E0,9.955923462E2
3.257312076E0,9.955951538E2
3.337144889E0,9.955993652E2
3.416970045E0,9.956054688E2
3.496766178E0,9.956127930E2
3.576583248E0,9.956210938E2
3.656365201E0,9.956296387E2
3.736198365E0,9.956354370E2
3.815998014E0,9.956368408E2
3.895769068E0,9.956349487E2
3.975540982E0,9.956307373E2
4.055326490E0,9.956253052E2
4.135157701E0,9.956198120E2
4.214971959E0,9.956149902E2
4.294800475E0,9.956104736E2
4.374640787E0,9.956060791E2
4.454479850E0,9.956001587E2
4.534338600E0,9.955965576E2
4.614170592E0,9.955965576E2
4.693988053E0,9.955988770E2
4.773816021E0,9.956012573E2
4.853634771E0,9.956032715E2
4.933451256E0,9.956021729E2
5.013229225E0,9.955982666E2
5.093029029E0,9.955926514E2
5.172837623E0,9.955871582E2
5.252622896E0,9.955826416E2
5.332416451E0,9.955792236E2
5.412235279E0,9.955762329E2
5.492010045E0,9.955735474E2
5.571783404E0,9.955710449E2
5.651582779E0,9.955684204E2
5.731397740E0,9.955662231E2
5.811231021E0,9.955646362E2
5.891031881E0,9.955629272E2
5.970804107E0,9.955618286E2
6.050563560E0,9.955621948E2
6.130335943E0,9.955634155E2
6.210080396E0,9.955665283E2
6.289842935E0,9.955704346E2
6.369609967E0,9.955748291E2
6.449477975E0,9.955787354E2
6.529334771E0,9.955818481E2
6.609186646E0,9.955806274E2
6.688949771E0,9.955782471E2
6.768722545E0,9.955746460E2
6.848480865E0,9.955703125E2
6.928201139E0,9.955654297E2
7.007946803E0,9.955601196E2
7.087710709E0,9.955534058E2
7.167545943E0,9.955465698E2
7.247315514E0,9.955397949E2
7.327073912E0,9.955326538E2
7.406835006E0,9.955257568E2
7.486622115E0,9.955170288E2
7.566398248E0,9.955089111E2
7.646195631E0,9.955010986E2
7.725986021E0,9.954948120E2
7.805777935E0,9.954927979E2
7.885581607E0,9.954957886E2
7.965387467E0,9.955026245E2
8.045126334E0,9.955075073E2
8.124881764E0,9.955103149E2
8.204622193E0,9.955096436E2
8.284402076E0,9.955079346E2
8.364156412E0,9.955036011E2
8.443917428E0,9.955034180E2
8.523677467E0,9.955065308E2
8.603457584E0,9.955131226E2
8.683265865E0,9.955221558E2
8.763049068E0,9.955369873E2
8.842792584E0,9.955509033E2
8.922564225E0,9.955634155E2
9.002335396E0,9.955745239E2
9.082081881E0,9.955810547E2
9.161833873E0,9.955795288E2
9.241589303E0,9.955765381E2
9.321364107E0,9.955735474E2
9.401117310E0,9.955693359E2
9.480912662E0,9.955676270E2
9.560700826E0,9.955714111E2
9.640487740E0,9.955806274E2
9.720270514E0,9.955938721E2
9.800063560E0,9.956080933E2
9.879872701E0,9.956188965E2
9.959648795E0,9.956268311E2
1.003938922E1,9.956243286E2
1.011919106E1,9.956170044E2
1.019900106E1,9.956082764E2
1.027879055E1,9.956029663E2
1.035859145E1,9.955973511E2
1.043840458E1,9.955982666E2
1.051827180E1,9.956005859E2
1.059808942E1,9.956071777E2
1.067787294E1,9.956119995E2
1.075763567E1,9.956166992E2
1.083739876E1,9.956190186E2
1.091717950E1,9.956196899E2
1.099696329E1,9.956166992E2
1.107676614E1,9.956138916E2
1.115656368E1,9.956096802E2
1.123633587E1,9.956052856E2
1.131611575E1,9.956005859E2
1.139589145E1,9.955955811E2
1.147567786E1,9.955901489E2
1.155545684E1,9.955841675E2
1.163520274E1,9.955788574E2
1.171496563E1,9.955782471E2
1.179472348E1,9.955765381E2
1.187450235E1,9.955746460E2
1.195429622E1,9.955751343E2
1.203404251E1,9.955749512E2
1.211378094E1,9.955715332E2
1.219350364E1,9.955628052E2
1.227324516E1,9.955531006E2
1.235300907E1,9.955404663E2
1.243276352E1,9.955273438E2
1.251251387E1,9.955134277E2
1.259224008E1,9.955057373E2
1.267197391E1,9.954985962E2
1.275174223E1,9.954973145E2
1.283157844E1,9.954985962E2
1.291136298E1,9.954996948E2
1.299112735E1,9.955010986E2
1.307086915E1,9.955045166E2
1.315057102E1,9.955062256E2
1.323028895E1,9.955078125E2
1.331002891E1,9.955114136E2
1.338978040E1,9.955170288E2
1.346954212E1,9.955248413E2
1.354932637E1,9.955340576E2
1.362909676E1,9.955374756E2
1.370888309E1,9.955387573E2
1.378873540E1,9.955376587E2
1.386852356E1,9.955327759E2
1.394828192E1,9.955245361E2
1.402802614E1,9.955192261E2
1.410773688E1,9.955156250E2
1.418745458E1,9.955126343E2
1.426715508E1,9.955117188E2
1.434685485E1,9.955076294E2
1.442655075E1,9.955043335E2
1.450633887E1,9.954996948E2
1.458605571E1,9.954916992E2
1.466577712E1,9.954830933E2
1.474550778E1,9.954747925E2
1.482522376E1,9.954671631E2
1.490496950E1,9.954618530E2
1.498472735E1,9.954621582E2
1.506445344E1,9.954655762E2
1.514420426E1,9.954719849E2
1.522398219E1,9.954774780E2
1.530380344E1,9.954816895E2
1.538361145E1,9.954805908E2
1.546343212E1,9.954765625E2
1.554325559E1,9.954755859E2
1.562309200E1,9.954754639E2
1.570294993E1,9.954741821E2
1.578280766E1,9.954769897E2
1.586266973E1,9.954782715E2
1.594252876E1,9.954718628E2
1.602234126E1,9.954637451E2
1.610211391E1,9.954549561E2
1.618189661E1,9.954442139E2
1.626166739E1,9.954351196E2
1.634144278E1,9.954285889E2
1.642124626E1,9.954238892E2
1.650102012E1,9.954202881E2
1.658079364E1,9.954180908E2
1.666058766E1,9.954119873E2
1.674040004E1,9.954071655E2
1.682018387E1,9.954023438E2
1.689999235E1,9.953974609E2
1.697978860E1,9.953923340E2
1.705957465E1,9.953929443E2
1.713935872E1,9.953952637E2
1.721913997E1,9.953985596E2
1.729890212E1,9.954059448E2
1.737868376E1,9.954105835E2
1.745846298E1,9.954163818E2
1.753824340E1,9.954216919E2
1.761801965E1,9.954282837E2
1.769780247E1,9.954357300E2
1.777758137E1,9.954459229E2
1.785736715E1,9.954562378E2
1.793717469E1,9.954662476E2
1.801693176E1,9.954807739E2
1.809671715E1,9.954916992E2
1.817652313E1,9.955023193E2
1.825632985E1,9.955124512E2
1.833611227E1,9.955216675E2
1.841590606E1,9.955249634E2
1.849566805E1,9.955285645E2
1.857547958E1,9.955332642E2
1.865524735E1,9.955383911E2
1.873504087E1,9.955444946E2
1.881481110E1,9.955490112E2
1.889457973E1,9.955548096E2
1.897436161E1,9.955581055E2
1.905412419E1,9.955604248E2
1.913389012E1,9.955629272E2
1.921365512E1,9.955668335E2
1.929342708E1,9.955707397E2
1.937318965E1,9.955804443E2
1.945295668E1,9.955877686E2
1.953271762E1,9.955954590E2
1.961248004E1,9.956004639E2
1.969225747E1,9.956049805E2
1.977201504E1,9.956051636E2
1.985175985E1,9.956062012E2
1.993148715E1,9.956065674E2
2.001120922E1,9.956085815E2
2.009094446E1,9.956109009E2
2.017072321E1,9.956119995E2
2.025050758E1,9.956119995E2
2.033024903E1,9.956099854E2
2.040998786E1,9.956079712E2
2.048971313E1,9.956051636E2
2.056944922E1,9.956033936E2
2.064919012E1,9.956049805E2
2.072897114E1,9.956093750E2
2.080871036E1,9.956137085E2
2.088842563E1,9.956165161E2
2.096815376E1,9.956165161E2
2.104790501E1,9.956149902E2
2.112765653E1,9.956123047E2
2.120735778E1,9.956109009E2
2.128707934E1,9.956101074E2
2.136680169E1,9.956124878E2
2.144653102E1,9.956141968E2
2.152625165E1,9.956159058E2
2.160597454E1,9.956176147E2
2.168570536E1,9.956199951E2
2.176547383E1,9.956207886E2
2.184525887E1,9.956218262E2
2.192503489E1,9.956228027E2
2.200486258E1,9.956226196E2
2.208466540E1,9.956223145E2
2.216445989E1,9.956245117E2
2.224423852E1,9.956243286E2
2.232397395E1,9.956221924E2
2.240371235E1,9.956151123E2
2.248342544E1,9.956063843E2
2.256313848E1,9.955962524E2
2.264288653E1,9.955882568E2
2.272264212E1,9.955829468E2
2.280239993E1,9.955827637E2
2.288219251E1,9.955856323E2
2.296196130E1,9.955863647E2
2.304171813E1,9.955866699E2
2.312146094E1,9.955849609E2
2.320118801E1,9.955820312E2
2.328092356E1,9.955782471E2
2.336068044E1,9.955765381E2
2.344045040E1,9.955751343E2
2.352021536E1,9.955782471E2
2.359997114E1,9.955827637E2
2.367974622E1,9.955857544E2
2.375951462E1,9.955890503E2
2.383925004E1,9.955912476E2
2.391897497E1,9.955898438E2
2.399867821E1,9.955899658E2
2.407842458E1,9.955918579E2
2.415815571E1,9.955929565E2
2.423787602E1,9.955958862E2
2.431759919E1,9.955987549E2
2.439731247E1,9.955976562E2
2.447703204E1,9.955941772E2
2.455677798E1,9.955887451E2
2.463652278E1,9.955845337E2
2.471623876E1,9.955826416E2
2.479595434E1,9.955835571E2
2.487571528E1,9.955880737E2
2.495547688E1,9.955941772E2
2.503519868E1,9.955968628E2
2.511491809E1,9.955973511E2
2.519464130E1,9.955951538E2
2.527436524E1,9.955899658E2
2.535408219E1,9.955852661E2
2.543380231E1,9.955832520E2
2.551351653E1,9.955820312E2
